time,air_temperature,relative_humidity,AT_F,RH,HI_F
2024-07-01 00:00:00,25.027325,88.54892,77.04919,88.54892,78.615906
2024-07-01 01:00:00,24.38847,96.0859,75.89925,96.0859,77.70521
2024-07-01 02:00:00,24.204332,96.36593,75.567795,96.36593,77.353775
2024-07-01 03:00:00,23.8528,96.203125,74.93504,96.203125,76.65009
2024-07-01 04:00:00,23.838058,97.236305,74.90851,97.236305,76.669464
2024-07-01 05:00:00,23.810156,97.296814,74.85828,97.296814,76.61706
2024-07-01 06:00:00,23.759485,98.91573,74.767075,98.91573,76.59282
2024-07-01 07:00:00,23.307264,96.8389,73.95308,96.8389,75.599815
2024-07-01 08:00:00,21.339329,93.15391,70.41079,93.15391,71.530106
2024-07-01 09:00:00,21.09141,90.40106,69.96454,90.40106,70.90984
2024-07-01 10:00:00,21.177406,75.91258,70.11933,75.91258,70.399155
2024-07-01 11:00:00,22.297504,62.27876,72.135506,62.27876,71.97615
2024-07-01 12:00:00,23.685217,56.119774,74.63339,56.119774,74.43436
2024-07-01 13:00:00,25.185156,52.88181,77.33328,52.88181,77.25205
2024-07-01 14:00:00,26.582321,47.724525,79.848175,47.724525,79.77604
2024-07-01 15:00:00,27.60932,42.883495,81.69678,42.883495,81.5282
2024-07-01 16:00:00,28.105167,40.046124,82.5893,40.046124,81.967995
2024-07-01 17:00:00,28.563559,36.569115,83.414406,36.569115,82.258896
2024-07-01 18:00:00,28.582186,36.32371,83.44794,36.32371,82.25755
2024-07-01 19:00:00,27.79139,38.1209,82.0245,38.1209,81.26484
2024-07-01 20:00:00,26.222548,41.758007,79.200584,41.758007,78.78327
2024-07-01 21:00:00,24.19675,47.821243,75.55415,47.821243,75.05717
2024-07-01 22:00:00,21.844154,53.6881,71.31947,53.6881,70.67476
2024-07-01 23:00:00,20.40195,58.65098,68.72351,58.65098,68.05246
2024-07-02 00:00:00,19.087294,65.05316,66.35713,65.05316,65.75034
2024-07-02 01:00:00,17.880259,72.246376,64.18446,72.246376,63.69849
2024-07-02 02:00:00,16.862833,78.93251,62.3531,78.93251,61.998238
2024-07-02 03:00:00,16.002483,83.985344,60.80447,83.985344,60.53223
2024-07-02 04:00:00,15.553037,87.05301,59.995464,87.05301,59.786503
2024-07-02 05:00:00,15.254341,87.90545,59.457813,87.90545,59.23515
2024-07-02 06:00:00,14.831906,89.748985,58.69743,89.748985,58.485374
2024-07-02 07:00:00,14.973782,89.82033,58.95281,89.82033,58.76964
2024-07-02 08:00:00,17.205046,83.99258,62.96908,83.99258,62.913643
2024-07-02 09:00:00,21.23376,67.89178,70.22077,67.89178,70.13376
2024-07-02 10:00:00,24.195066,53.872375,75.55112,53.872375,75.33823
